Sentence_id	Prior_Emotion	Sentence	General Event	Future Event	Past Event	Prospective	Social	Self conseq.	Conseq. oth.	Situat. control	Responsible
763	Disgust	I felt … when my dog licks the ground when something horrible has been there.	1	0	0	0	1	0	1	1	0
836	Fear	I felt … when my grandmother didn't answer the door when I visited. I was … that she was ill or had had a fall.	0	0	1	0	1	0	1	0	0
495	Sadness	I felt ... when my cat Pepsi died. I felt ... that she had died and I felt ... about the fact I couldn’t do anything to help her. I remember just cuddling her before she was put to sleep and I was so ...	0	0	1	0	1	0	1	0	0
1153	Shame	I felt ... because BREXIT has made my country a laughing stock.	0	0	1	0	0	1	1	0	0
402	Joy	I felt ... when I received a postage stamp that I had bought online for my collection - it was in excellent condition and completed a set that I had been accumulating since childhood.	0	0	1	0	0	1	0	0	1
999	Joy	I felt ... when we bought a puppy.	0	0	1	0	1	1	0	1	1
679	Anger	I felt … when we were charged by a care home for the three months after my father had died, even though we had emptied his room the day after his death.	0	0	1	0	1	1	1	0	0
667	Anger	I felt … when I saw on the news that a guy had been stabbed to death by a stranger on a train and it was in front of his son.	0	0	1	0	1	0	1	0	0
521	Sadness	I felt ... because the woman I love has rejected my feelings, walking when we met together was very good :(	0	0	1	0	1	1	0	0	1
822	Fear	I felt … when I took my cat to the vet because I thought she was going to die.	0	0	1	1	1	0	1	1	1
11	Anger	I felt ... when I saw a teenager kicking over some flowers in a park.	0	0	1	0	1	0	0	0	0
1128	Shame	I felt ... when I realised that I had forgotten my best friend's birthday when she has had such a tough year but never forgets my birthday or special events.	0	0	1	0	1	0	1	0	1
1139	Shame	I felt ... when I ate  my daughter's burger from McDonald and she was upset after that.	0	0	1	0	1	1	1	1	1
358	Guilt	I felt ... because I witnessed an event of vandalism by a group of youths to a piece of lifesaving equipment today, and did not stop to try to correct the damage.	0	0	1	0	1	0	1	1	0
1040	Joy	I felt ... because I spent Christmas with my family.	0	0	1	0	1	1	1	1	1
611	Shame	I felt ... when someone commented that I was looking very untidy.	0	0	1	0	1	1	0	0	1
945	Guilt	I felt ... when I told a friend I was not well to avoid meeting them.	0	0	1	0	1	1	1	1	1
817	Fear	I felt … when our kitten escaped in the late evening and we thought he was lost.	0	0	1	1	1	0	1	0	1
745	Disgust	I felt … when someone I know abandoned their family because they had found a new partner and blamed it all on their ex.	0	0	1	0	1	0	1	0	0
1050	Sadness	I felt ... when I heard a family friend who had always been very nice to me died.	0	0	1	0	1	0	1	0	0
1114	Sadness	I felt ... when I saw how migrants die crossing the Mediterranean sea.	0	0	1	0	1	0	1	0	0
1029	Joy	I felt ... because we managed to get a mother bat to collect her baby that she had lost and fly off with it.	0	0	1	0	1	0	1	1	1
62	Anger	I feel ... because my ex-husband lies to my children and always puts himself first.	1	0	0	0	1	0	1	0	0
892	Fear	I feel a lot of … to stay alone at home.	1	0	0	0	0	1	0	0	0
360	Joy	I felt ... because I was going to see my favourite music artist perform live.	0	0	1	1	1	1	0	1	1
1140	Shame	I felt ... because my country is treating EU citizens terribly.	0	0	1	0	1	0	1	0	0
101	Disgust	I felt ... when having a meal with a group of people and one of them made a point of emphasizing a loud fart and trying to make it into a big laugh. I and others were ... and made it very clear.	0	0	1	0	1	0	1	0	0
1133	Shame	I felt ... when my girlfriend slapped me.	0	0	1	0	1	1	0	0	0
738	Disgust	I felt … when I watched my partner eating his Christmas dinner because he ate like an animal who'd not seen food for a week.	0	0	1	0	1	0	1	0	0
146	Disgust	I felt ... when I saw somebody kicking their dog.	0	0	1	0	1	0	1	1	0
275	Anger	I felt … when  I was waiting in line at the supermarket and someone cut in front of me.	0	0	1	0	1	1	1	1	0
406	Joy	I felt ... when my team won the cup.	0	0	1	0	1	0	1	0	0
971	Guilt	I felt ... when I took a sickie from work because my dog was ill.	0	0	1	0	0	1	0	1	1
664	Anger	I felt … when a seller left me totally unjustified negative feedback on eBay due to an item disappearing in the post.	0	0	1	0	1	1	0	0	1
413	Joy	I felt ... when my team won.	0	0	1	0	1	0	1	0	0
757	Disgust	I felt … because I found quite a lot of hairs on a piece of flat bread I had already bitten into at an Indian meal.	0	0	1	0	0	1	0	0	0
457	Anger	I felt … when my step dad kicked my dog. The dog wasn’t even in his way - he’d already moved, and he just launched himself at the dog kicking him. I was … because I hate anyone that hurts animals.	0	0	1	0	1	0	1	0	0
1178	Shame	I felt ... when a supposed friend of mine punched me in the back while I was bent down to tie a shoelace and, without thinking, I spun and punched him in the chest and, luckily, didn't break his fingers though they swelled up. I felt ... that I had reacted like that but it was an instinct to being punched in such a cowardly way.	0	0	1	0	1	1	0	0	0
1136	Shame	I felt ... as a teenager, I belonged to St John's Ambulance (a First Aid charity) and while walking with my Grandparents, I saw someone collapsed but, as there was a crowd around them, I didn't want to go and see if I could help so I just carried on walking, despite my Grandparents telling me otherwise. I later felt ... that I hadn't at least offered to help ad it still ... me to this day.	0	0	1	0	1	0	1	1	1
606	Shame	I felt ... giving a cheque to the managing agent which did not cover all I owed.	0	0	1	0	1	0	1	1	1
296	Guilt	I felt ... when I was stopped for driving while over the drink drive limit. I had to go to court and felt ... about the shame and embarassement I brought on my family.	0	0	1	0	1	1	1	1	1
697	Anger	I felt … when the neighbours’ son smashed my window with his football, and I was made to pay the damage by my landlord while the son continued to throw and kick his ball at my window.	0	0	1	0	1	1	0	0	0
531	Sadness	I felt ... when I left my old job through ill health. I was very ... to leave.	0	0	1	0	0	1	0	0	0
341	Guilt	I feel ... because I cheated on a previous girlfriend.	0	0	1	0	1	1	1	1	1
504	Sadness	I felt ... when my daughter miscarried her first child as she had been trying for a couple of years and was really looking forward to it. She would have been a lovely mother and it would have been another grand child for me.	0	0	1	0	1	0	1	0	0
533	Sadness	I felt ... when my mother-in-law passed away.	0	0	1	0	1	0	1	0	0
553	Sadness	I felt ... when my lover Pierre-Guillaume left me for another woman.	0	0	1	0	1	1	0	0	0
698	Anger	I felt … when my parents stopped me from following the career path I wanted when I was a teenager because it wasn't a traditional career.	0	0	1	0	1	1	0	1	0
933	Guilt	I felt ... when I broke my new phone.	0	0	1	0	0	1	0	0	1
594	Shame	I felt ... when I forgot to take my son to a football match because I didn't read messages in a text group carefully enough.	0	0	1	0	1	0	1	0	1
340	Guilt	I felt ... when I smacked my dog after he weed in the house.	0	0	1	0	1	0	1	1	1
180	Disgust	I felt ... when I was watching a programme on television that was very gory. It involved a celebrity doing horrible challenges like eating witchety grubs.	0	0	1	0	1	0	1	0	1
192	Fear	I felt ... on the last flight I took because there was a lot of turbulence the plane wasn't very big and it kept dropping. Some children were crying and it really ... me.	0	0	1	0	1	1	1	0	0
680	Anger	I felt … when I realised that there was an outbreak of head lice in my daughter's class. My daughter has hair down to the small of her back, so it's a lot of work to check thoroughly. One kid in the class wasn't checked as her mother had tv to catch it on that night. I'm still raging.	0	0	1	0	1	1	1	0	0
217	Fear	I felt ... when I first flew on a plane.	0	0	1	0	0	1	0	1	1
37	Anger	I felt ... when watching Prime Ministers Questions on TV at the way the MPs barracked and behaved. It was not appropriate.	0	0	1	0	1	0	1	0	1
158	Disgust	I felt ... because my child projectile vomited all over his bed, himself and the wall.	0	0	1	0	1	0	1	0	0
1125	Shame	I felt ... because I was a quizmaster at a party and I made a mess of it as I hadn't prepared adequately.	0	0	1	0	0	1	0	0	1
1038	Joy	I felt ... when I was in an amateur dramatics and got a singing part in a musical called Kiss Me Kate and got to sing a big number called To Darn Hot. The show ran for a week and I was able to perform this to hundreds of people each night.	0	0	1	0	1	1	0	1	1
285	Guilt	I felt ... when I was awarded a grant and a friend, who is worse off than me, was refused.	0	0	1	0	1	1	1	0	1
86	Anger	I felt ... when I was dumped by being ignored by the man I loved.	0	0	1	0	1	1	0	0	0
222	Fear	I felt ... because I had to climb a high ladder.	0	0	1	0	0	1	0	0	1
1022	Joy	I feel ... when I spend time with my partner, he makes me laugh and makes me forget about my problems when we're together. Spending time with family too fills me with ..., especially my mum.	0	0	1	0	1	1	0	1	1
61	Anger	I felt … when my ex husband managed to access my bank account and withdrew money from it to pay into his own account.	0	0	1	0	1	1	1	0	0
205	Fear	I felt ... when I was trapped in a subway train in New York with a crazy person threatening me and my friends with a broken bottle.	0	0	1	0	1	1	1	0	0
576	Shame	I felt ... when private messages between me and someone else were publicly posted on Facebook. I was ... because it was so embarrassing.	0	0	1	0	1	1	0	0	0
978	Joy	I felt ... because my child loved their Christmas gift so much they were almost in tears of joy.	0	0	1	0	1	0	1	0	1
1144	Shame	I felt ... when we saw my partner's sister on Boxing Day and had not realized she would be at his parents' place and had bought us gifts. We did not have anything to give her.	0	0	1	0	1	0	1	0	1
819	Fear	I feel … of becoming well known because of posting many photos on social media.  I like to remain as a private person and not be recognised just because I have posted online.	0	0	1	0	0	1	0	1	1
19	Anger	I felt ... when I saw a news report of people rioting and looting in my country.	0	0	1	0	1	0	1	0	0
1049	Sadness	I felt ... when my dad died as it was sudden and he was on his own at the time and I wish I could have been with him.	0	0	1	0	1	0	1	0	1
218	Fear	I felt ... when an aeroplane I was on hit a heavy turbulence and dropped a long way down suddenly.	0	0	1	1	0	1	1	0	0
486	Sadness	I felt ... when I wasn’t able to speak to a close friend when he was been sick in hospital. It made me ... because I wanted to be able to make him feel happier, and wasn’t able to do so.	0	0	1	0	1	1	1	0	1
1015	Joy	I felt ... when I watched a good movie.	0	0	1	0	0	1	0	0	1
1000	Joy	I felt ... when I was able to reunite an elderly relative with her beloved cat which had been missing for a few days.	0	0	1	0	1	0	1	0	1
394	Joy	I felt ... when my sister told me she was getting married, so ... for her after a fair few bad relationships.	0	0	1	0	1	0	1	0	0
841	Fear	I felt … when a couple were arguing right outside my living room window and I heard one of them smack into the window. I was … they were going to damage my house (that’s rented so I’d be forced to pay for the damage) but I was also … I’d be included in the argument then.	0	0	1	1	1	1	0	0	0
388	Joy	I felt ... when I got a new job.	0	0	1	0	0	1	0	0	1
293	Guilt	I felt ... at my last birthday, I got a present from my partner I didn't really want, it was expensive and I knew that we couldn't really afford it. I told him to take it back and he was very upset by it. I felt pangs of ... afterwards and knew I had dealt with it all wrong as the gift was given out of love and I responded with what appeared to be spite.	0	0	1	0	1	0	1	0	1
561	Sadness	I felt ... when my Granny passed away. It's her anniversary and I'm so ... again. I miss her so...	0	0	1	0	1	0	1	0	0
1019	Joy	I felt ... when one of my very shy foster cats came and sat beside me for a cuddle and purred contentedly.	0	0	1	0	1	0	1	0	0
1130	Shame	I felt ... when I was younger and I was caught cheating on a test in school. The teacher had seen me copying off someone else and gave me a warning about this.	0	0	1	0	1	1	0	1	1
213	Anger	I felt … when I saw a small bunch of drunk young guys taunting a homeless person late one evening in the city.	0	0	1	0	1	0	1	0	1
321	Guilt	I felt ... when I didn’t take my cat to the vets for a while and she got ill. I felt ... and thought it was my fault, even though it wasn’t. I couldn’t focus on anything because I felt so guilty.	0	0	1	0	1	0	1	0	1
196	Fear	I felt ... when climbing some rocks because of the height and the danger of slipping.	0	0	1	1	0	1	0	0	1
1120	Shame	I felt ... when I went to a party where I got quite drunk. While I was there I bumped into a neighbour and started talking to him. I only remember snippets of the conversation but I know that I embarrassed myself by saying stupid things. For ages I had to try and avoid bumping into him in my building.	0	0	1	0	1	1	0	0	1
378	Joy	I felt ... when my partner and I got married. It was on a beautiful day in the botanic gardens surrounded by all the people who matter to us.	0	0	1	0	1	1	0	1	1
792	Disgust	Ugh, the … that I felt whilst cleaning out the shower drain was unreal. My stomach was churning. Who knew hair conditioner could leave a slimy mess?	0	0	1	0	0	1	0	0	1
1080	Sadness	I feel ... when I watch my football team lose.	0	0	1	0	1	0	1	0	0
893	Guilt	I felt … when I let my dog out in the garden one and then forgot and went to bed in the morning the poor thing was crying outside the door.	0	0	1	0	1	0	1	0	1
610	Shame	I felt a sense of ... when once I had to take off my clothes in front of a nurse preparing me for having a vasectomy operation.	0	0	1	0	1	1	0	0	0
496	Sadness	I felt ... when my dad fell and hurt his ankle.	0	0	1	0	1	0	1	0	0
644	Shame	I felt ... when I attempted to steal a book in a store. I took the book with the intention of walking out the store without paying for it. A sense of ... came over me and I actually put the book back. Since that time I have never attempted anything like this again.	0	0	1	0	0	1	1	1	1
4	Anger	I felt ... when someone made a racist comment to my friend while we were in the supermarket.	0	0	1	0	1	0	1	0	0
638	Shame	I felt ... because I did something silly.	0	0	1	0	0	1	0	1	1
810	Fear	I felt … when I was on a small plane and there was a lot of turbulence.	0	0	1	1	0	1	1	0	1
1122	Shame	I felt ... that I had promised to make a charitable donation this Christmas instead of buying a particular present for somebody, and never actually got around to it.	0	0	1	0	1	0	1	1	1
529	Sadness	I felt ... when there was a documentary about starving african children on television.	0	0	1	0	1	0	1	0	0
60	Anger	I felt ... when my colleagues did not even bother to say goodbye to me when I got made redundant or even call me to say they were sorry I was going.	0	0	1	0	1	1	0	0	0
785	Disgust	I felt … when I saw the profits that were announced by British Gas when there is so much fuel poverty.	0	0	1	0	1	0	1	0	0
824	Fear	I felt … when I was zip lining in Costa Rica. I was up really really high and I looked down on the middle of a line this gave me … that I was going to fall and ultimately die.	0	0	1	1	0	1	0	0	1
736	Disgust	I felt … when found a dead caterpillar in a pre-packed salad.	0	0	1	0	1	1	0	0	1
310	Guilt	I felt ... because I looked at all the stuff that Santa has organised for my children, and I felt ... for all the children who will get nothing.	0	0	1	0	1	0	1	1	1
767	Disgust	I felt … when I saw a man shouting and swearing at his children.	0	0	1	0	1	0	1	0	0
1051	Sadness	I felt ... because I had a dog in my childhood and he died. I have very much loved my friend and very badly.	0	0	1	0	1	0	1	0	0
688	Anger	I felt … when as a young hairdresser I was closing up the shop.  My boss came in and was annoyed and angry that I had let my girlfriend into the shop while I was closing up.  We had an altercation over the incident.	0	0	1	0	1	1	0	1	1
523	Sadness	I felt ... when I saw rabbits looking very miserable in rather small cages in the city pet store, although these doubtless met all the regularity requirements.	0	0	1	0	1	0	1	0	1
1037	Joy	I felt ... when my daughter was born.	0	0	1	0	1	0	1	0	1
703	Anger	I feel … when work colleagues are not helpful in assisting with task at hand.	1	0	0	0	1	1	0	0	0
472	Sadness	I felt ... when my mother died after suffering from cancer for months.	0	0	1	0	1	0	1	0	0
424	Joy	I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.	0	0	1	0	1	0	1	0	0
1008	Joy	I felt ... when an online order was delivered and the item was better than expected	0	0	1	0	0	1	0	0	1
1077	Sadness	I felt ... when a man I thought of as my grandpa passed away, and during his funeral which was today. It makes me ... because he’s going to be sorely missed, and his wife is now all alone and suffering a lot without him.	0	0	1	0	1	0	1	0	0
571	Shame	I felt ... when I couldn't find anyone to allow me to swap in with me on the hockey field. I was not good at team sports, always picked last, and the teacher had told me to swap in with someone, but everyone refused as they wanted a decent game.	0	0	1	0	1	1	0	0	1
130	Disgust	I feel ... when I see news headlines on television of how people have not cared for their children or have abused them.	0	0	1	0	1	0	1	0	1
582	Shame	I felt ... when I got intoxicated at a lively work Christmas party and said some rather unwise things to a senior colleague.	0	0	1	0	1	1	0	0	1
849	Fear	I feel … because car drivers frequently fail to see the stop light at a pedestrian crossing near to my home and carry on driving even though people are starting to walk across the road.	1	0	0	0	1	1	1	0	0
950	Guilt	I felt ... after I ate a whole box of chocolates in secret over Christmas when I was supposed to be sharing them, just because I was greedy.	0	0	1	0	0	0	1	1	1
351	Guilt	I felt ... when I lost a necklace that a friend had lent to me. It has sentimental value to her and I felt very ... for not taking more care of it.	0	0	1	0	1	0	1	0	1
474	Sadness	I felt ... when I read an article in the Times about David Baddiel's cat dying.	0	0	1	0	1	0	1	0	1
1182	Shame	I felt ... because I had put on weight and my work trousers didn't fit.	0	0	1	0	0	1	0	0	1
918	Guilt	I felt … when I told friends I was not well to avoid meeting them.	0	0	1	0	1	1	0	1	1
835	Fear	I felt … when awaiting the email results of an important and very expensive accountancy exam I had taken a few months previously.	0	0	1	1	0	1	0	0	0
724	Anger	I felt … because my partner was supposed to have been dealing with important tasks but I found he hadn't done them but watched TV instead.	0	0	1	0	1	0	1	0	0
1061	Sadness	I felt ... when my father was diagnosed with terminal cancer	0	0	1	0	1	0	1	0	0
1112	Sadness	I felt ... after learning that a bomb had gone off in Northern Ireland today he first for a while.	0	0	1	0	0	0	1	0	1
734	Disgust	I felt … when I went into my back garden and found someone’s cat had been pooping on my lawn and I had to pick up over 10 poops.	0	0	1	0	1	1	0	0	1
451	Joy	I felt ... when I received a call from an old friend I hadn't heard from in years.	0	0	1	0	1	1	0	0	0
242	Fear	I felt ... when a man grabbed me on the bus and didn't want to let me go. People around stared at both of us doing nothing. Eventually I managed to escape.	0	0	1	0	1	1	0	0	0
1162	Shame	I felt ... when I was fired from a job for not meeting achievement quotas regularly enough. This was something that made me feel ... as it was something that only happened to me at that time and I felt embarrassed in the context of my colleagues at that workplace.	0	0	1	0	1	1	0	0	1
899	Guilt	I felt … when I cheated on my husband.	0	0	1	0	1	1	1	1	1
803	Disgust	I feel … when I eat some out of date food.	0	0	1	0	0	1	0	0	1
1173	Shame	I felt ... when I turned up drunk at a party and made a show of myself.	0	0	1	0	0	1	0	0	1
876	Fear	I felt … when I realised that I made a mistake at work.	0	0	1	0	0	1	0	0	1
300	Guilt	I felt ... when I couldn't visit a relative because I was ill.	0	0	1	0	1	1	0	0	1
1148	Shame	I felt ... because other people knew that I hadn't been seeing my ill brother as often as I could have been doing.	0	0	1	0	1	1	0	1	1
179	Disgust	I felt ... reading about the life of the Kardashians.	0	0	1	0	1	1	0	1	1
597	Shame	I felt ... one Christmas as one of our patients lives alone and would be spending Christmas by herself. I arranged for her to spend the day with her local church. They were going to pick her up and she would spend the day with other people who would otherwise be on their own. When I visited her after Christmas and asked her if she enjoyed Christmas day, she told me that they had forgotten to pick her up. I felt ... as if I had let her down even though I couldn't have done anymore.	0	0	1	0	1	0	1	0	1
382	Joy	I felt ... when I received a bonus at work.	0	0	1	0	0	1	0	0	1
564	Shame	I felt ... when I was arrested for stealing.	0	0	1	0	0	1	0	1	1
983	Joy	I felt ... because my daughter was handpicked to travel abroad to prepare an advertising campaign for a well known charity.	0	0	1	0	1	0	1	0	0
988	Joy	I felt ... when I saw my eldest son home from university after three months away.	0	0	1	0	1	1	0	0	1
885	Fear	I felt … when I first realised that the UK may not leave the EU with a deal and my … was, and still is, that I may struggle to feed my family if there are shortages/delays and that I slowly need to build a supply of non-perishable goods just in case.	0	0	1	1	1	1	1	0	1
888	Fear	I felt … when I watched a series on Netflix about a stalker and then got … in the house on my own.	0	0	1	0	1	1	0	0	1
774	Disgust	I felt … when my girlfriend left it to me to clean out the cat litter tray, first thing in the morning.	0	0	1	0	1	1	0	0	0
746	Disgust	I felt … when I saw a woman pissing on the street.	0	0	1	0	1	0	1	0	1
631	Shame	I felt ... when I shouted at my children with a lost temper which was uncalled for. Of course I apologised, but I carried the ... of it.	0	0	1	0	1	1	1	1	1
895	Guilt	I felt … when I did not stay to do New Year with my parents.	0	0	1	0	1	1	0	1	1
291	Guilt	I felt ... that I moan about a life that is essentially privileged and comfortable, when there is real poverty in the world, even on the streets of my city.	1	0	0	0	0	1	0	1	1
677	Anger	I felt … when Liverpool FC lost against Wolves.	0	0	1	0	1	0	1	0	0
982	Joy	I felt ... when I had a fab new years night out with my family and friends.	0	0	1	0	1	1	0	0	1
759	Disgust	I felt … when I saw some food that had gone bad.	0	0	1	0	0	0	0	0	1
560	Sadness	I felt ... when my grandmother died as she was the only one who understood me.	0	0	1	0	1	0	1	0	0
1068	Sadness	I felt ... when my husband left me after 16 years and I realised he wouldn't be coming back to me and my children.	0	0	1	0	1	1	1	0	0
282	Guilt	I felt ... because I could not help a friend when she was really in need of help but I had already promised to be somewhere else that week, and could not let that person down.	0	0	1	0	1	0	1	0	1
882	Fear	I felt … when I was out late at night and was aware that some dangerous people were around.	0	0	1	1	1	1	0	0	1
682	Anger	I felt … when I saw dog dirt left on a public footpath probably because the owner couldn't pick it up.	0	0	1	0	1	1	0	0	1
1059	Sadness	I felt ... when I watched a sad film.	0	0	1	0	1	1	0	0	1
223	Fear	I felt ... when I lay awake during the night and kept hearing unusual sounds coming from downstairs, though I tried to rationalise them so as not to get up and investigate.	0	0	1	0	0	1	0	0	1
497	Anger	I felt … when I had managed to get tickets in order to see the Backstreet boys. I had done lots of preparation in advance including registering on the site and setting an alarm for when the tickets went on sale. I felt … as I logged in at 9am to buy them and by the time the page had loaded they had sold out. When checking other sites some were already being sold for triple the amount which made me … .	0	0	1	0	1	1	0	0	1
1023	Joy	I felt ... when my family came to visit me to celebrate my 50th birthday.  It was great to have aunts and cousins as well as closer family having a good time together.	0	0	1	0	1	1	0	0	0
778	Disgust	I felt … because the shop I used to work in stored all the damaged fresh meat in a storeroom fridge and I was sent in to clean it out and it was crawling full of maggots.	0	0	1	0	0	1	0	0	0
867	Fear	I felt … when a horse bolted with me, the saddle slipped and I could see I was going to get badly injured when I would eventually fall off.	0	0	1	1	0	1	0	0	1
787	Disgust	I felt … at seeing the amount of rubbish floating in our rivers recently.	0	0	1	0	0	0	0	0	1
937	Guilt	I felt ... when competing in a competition and I took the winning spot just seconds before the contest was over. The person that was bumped down to second was a child and they were very upset at losing. I hadn’t intentionally overtaken them and felt really ... about making them sad.	0	0	1	0	1	1	1	0	1
630	Shame	I felt ... when I smacked my granddaughter in public when she was being very naughty.	0	0	1	0	1	0	1	1	1
1074	Sadness	I felt ... because one of my friends was mistreated by her husband.	0	0	1	0	1	0	1	0	0
954	Guilt	I felt ... when I took my Dad's scissors from his drawer when I was not supposed to.	0	0	1	0	1	1	0	1	1
707	Anger	I felt … when I was pestered for change by a street beggar as I walked along the road.	0	0	1	0	1	1	0	0	0
979	Joy	I felt ... when I received an amazon voucher for a Christmas present - not only was it larger than I had reason to expect, but I now have enough in my gift card balance to buy a fitness tracker.	0	0	1	0	0	1	0	0	0
72	Anger	I felt ... when a woman on the bus refused to fold her child’s buggy up to allow a wheelchair user to board.	0	0	1	0	1	0	1	0	0
832	Fear	I felt … because I had to give a presentation at work.	0	0	1	0	0	1	0	0	1
35	Anger	I felt ... because my husband's former wife kept his children away for him one weekend and influenced them not to see us.	0	0	1	0	1	0	1	0	0
676	Anger	I felt … once when a customer at work was really rude and started shouting at me that I wasn't competent enough to do my job even though I did the task correctly and he was incorrect - he was just angry because he lost a hand of poker and was looking for someone to blame.	0	0	1	0	1	1	0	0	0
896	Guilt	I felt a lot of … when I lied to my mother that I didn't smoke.	0	0	1	0	1	1	0	1	1
1157	Shame	I felt ... when I drank too much and fell asleep.	0	0	1	0	1	1	0	0	1
944	Guilt	I felt ... because I forgot to do something that I promised I would do for someone.	0	0	1	0	1	0	1	0	1
1045	Joy	I felt ... when I rescued a dog at the local shelter and he became my best friend.	0	0	1	0	1	1	1	1	1
177	Disgust	I felt ... when I found half a sausage roll caked in fluff hidden down the back of my bed's headboard.	0	0	1	0	0	0	0	0	1
83	Anger	I felt ... at a recent news story, where a rapist was trying to get sole custody of the child that resulted from the rape.	0	0	1	0	1	0	1	0	0
635	Shame	I felt ... when I made a mistake at work and lost the company money.	0	0	1	0	0	0	1	0	1
416	Joy	I feel ... when Oldham Athletic manage to stay in the premiership.	0	0	1	0	1	0	1	0	0
1113	Sadness	I felt ... because I missed seeing my son when he couldn't visit as he wasn't feeling well.	0	0	1	0	1	1	0	0	0
869	Fear	I felt … when I thought I had lost my wallet.	0	0	1	0	0	1	0	0	1
798	Disgust	I felt … at my boyfriend because he was kicking a cat.	0	0	1	0	1	0	1	0	0
1135	Shame	I felt ... when I failed my ninth year at high school.	0	0	1	0	0	1	0	1	1
802	Disgust	I felt … when I had to plunge the toilet as it had gotten clogged.	0	0	1	0	0	1	0	1	0
419	Joy	I felt ... riffing out a song with the man I loved outside a pub in Chelsea.	0	0	1	0	1	1	0	1	1
663	Anger	I felt … because my computer crashed.	0	0	1	0	0	1	0	0	0
189	Fear	I felt ... when I had to walk back alone after a night out in London, having recently been reading a lot of news about an increase in the occurrence of stabbings in the capital.	0	0	1	1	0	1	0	0	0
1021	Joy	I felt ... when I was a young child in 1980 at the age of of just ten. I was waiting desperately for my computer to arrive which was the Sinclair ZX80 that my dad had ordered from Sinclair Research, I was absolutely addicted to computers as an autistic child but only had access to one for a limited time when my dad occasionally brought a Commodore Pet home from work and I was absolutely desperate to get a computer of my own. Every day I'd come back from school desperately hoping it had arrived to another day of disappointment. When it finally arrived after lots of delays I felt a huge amount of intense ... and also excitement, it was one of the best warm feelings as an autistic child I could have felt, it was like all my Christmas's had come together in one, I couldn't wait to get it connected and only my parents forcing me to go to bed later that night forced me away from it or I would have stayed up all night and the ... of receiving it remained for a long time, this remained an obsession that never ended. It's probably difficult to understand how much ... I felt to receive such a basic computer by someone who doesn't have an addictive autistic interest like I did and still have, but I haven't stopped using computers every day since then and I'm now 49 years old.	0	0	1	0	1	1	0	0	0
924	Guilt	I feel ... because I didn't spend as much time as I should with my ill brother before he died.	0	0	1	0	1	0	0	1	1
